variável;município;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
área plantada;Arari ;1957;2003;2883;2719;2996;3834;4020;3807;3757;3519;2690;2211;2300;2545;2600;2500;3200
área plantada;Bacabal ;2952;3129;3098;3090;4340;4300;4380;2750;2890;2950;520;600;910;820;738;796;648
área plantada;Balsas ;4086;4086;4246;4410;4472;4932;3265;2450;1960;1862;1228;660;2060;1860;1720;1760;1720
área plantada;Sorriso ;7115;7115;4000;4290;2060;2780;1220;1200;4300;4200;2400;6000;3600;5300;3300;4400;-
área plantada;Inhumas ;800;700;600;800;250;80;80;70;65;-;-;-;-;-;-;-;-
área plantada;Itapuranga ;1100;600;800;900;550;550;300;300;60;30;20;20;20;20;20;20;20
área plantada;Palmeiras de Goiás ;400;350;300;400;400;400;350;350;300;180;420;500;140;60;40;58;40
área plantada;Piranhas ;500;300;425;700;600;500;400;110;150;108;-;-;-;-;-;-;-
área colhida;Arari ;1957;2003;2883;1792;2996;3834;4020;3807;3757;3519;2690;2211;2300;2545;2600;2500;3200
área colhida;Bacabal ;2952;3129;3098;3090;4340;4300;4380;2750;2890;2950;520;600;910;820;738;796;648
área colhida;Balsas ;4086;4086;4246;4410;4472;4932;3265;2450;1960;1862;921;660;2060;1860;1720;1760;1720
área colhida;Sorriso ;7115;7115;4000;4290;2060;2780;1220;1200;4300;4200;2400;6000;3600;5300;3300;4400;-
área colhida;Inhumas ;800;700;600;800;250;80;80;70;65;-;-;-;-;-;-;-;-
área colhida;Itapuranga ;1100;600;800;900;550;550;300;300;60;30;20;20;20;20;20;20;20
área colhida;Palmeiras de Goiás ;400;350;300;400;400;400;350;350;300;180;60;500;140;60;40;58;40
área colhida;Piranhas ;350;300;425;600;600;500;400;110;150;108;-;-;-;-;-;-;-
quant produzida;Arari ;4978;5132;11120;7686;12359;16103;14122;14783;17382;13620;9494;9195;9950;11822;12975;11050;16200
quant produzida;Bacabal ;4791;5006;4027;4017;4566;5590;5256;3575;3757;3095;208;594;1351;1148;886;955;842
quant produzida;Balsas ;7354;7354;7642;7938;7486;8384;5701;4656;3951;3753;669;1782;5603;5059;4902;4787;4680
quant produzida;Sorriso ;20171;20491;13200;14244;6270;9174;3806;3600;15480;14820;8280;22350;12960;19360;11880;16280;-
quant produzida;Inhumas ;2400;2100;1800;2400;680;224;224;170;160;-;-;-;-;-;-;-;-
quant produzida;Itapuranga ;2420;1440;1600;1980;1200;1320;720;720;144;72;48;48;48;48;60;48;48
quant produzida;Palmeiras de Goiás ;640;420;480;640;640;960;980;1155;690;360;36;1674;469;210;178;180;148
quant produzida;Piranhas ;700;630;1167;1260;1500;1250;960;209;300;216;-;-;-;-;-;-;-
valor produção;Arari ;2322;1995;8896;5572;7415;14493;10644;9554;14366;12446;10727;7999;8005;7674;10328;16800;23676
valor produção;Bacabal ;3114;4255;10068;3414;3104;3913;3942;2503;2855;2786;245;832;1310;901;709;1738;1684
valor produção;Balsas ;2206;1839;3821;3969;3743;4192;3076;3259;2845;2910;535;1283;4205;3798;4402;5936;7067
valor produção;Sorriso ;6656;8196;6019;7407;2771;3670;1936;2221;10836;9071;6762;13410;10800;18380;11120;23092;-
valor produção;Inhumas ;768;672;1188;1440;401;128;128;114;115;-;-;-;-;-;-;-;-
valor produção;Itapuranga ;847;504;1056;1188;699;770;418;600;103;54;36;40;29;72;54;72;77
valor produção;Palmeiras de Goiás ;234;176;288;371;371;557;588;866;462;270;27;1624;464;210;205;300;237
valor produção;Piranhas ;233;221;622;630;900;675;523;125;190;162;-;-;-;-;-;-;-
