variável;município;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
área plantada;Luís Eduardo Magalhães ;3641;1806;2070;1700;2947;1700;2100;1800;1000;800;1000
área plantada;Guaxupé ;5299;5299;5200;5000;5600;4540;5600;5050;4900;4500;3950
área plantada;Manhuaçu ;18150;18300;17000;17000;15300;18330;18090;20920;21920;21920;22700
área plantada;Patrocínio ;30852;31182;35182;32882;34730;38700;37400;40900;43595;42092;36931
área plantada;Venda Nova do Imigrante ;3620;3650;3650;3550;2520;2520;2520;3000;3000;3000;3000
área plantada;Franca ;6540;6540;6960;7110;7325;7325;8560;8560;9100;9480;9480
área plantada;Londrina ;3400;2680;1648;1600;950;950;900;900;950;301;950
área colhida;Luís Eduardo Magalhães ;3641;1806;2070;1700;2947;1700;2100;1800;1000;800;1000
área colhida;Guaxupé ;5299;5299;5200;5000;5600;4540;5600;5050;4900;4500;3950
área colhida;Manhuaçu ;18150;18300;17000;17000;15300;18330;18090;20920;21920;21920;22700
área colhida;Patrocínio ;30852;31182;35182;32882;34730;38700;37400;40900;43595;42092;36931
área colhida;Venda Nova do Imigrante ;3620;3650;3650;3550;2520;2520;2520;3000;3000;3000;3000
área colhida;Franca ;6540;6540;6960;7110;7325;7325;8560;8560;9100;9480;9480
área colhida;Londrina ;3400;2680;1648;1600;930;950;900;900;950;301;950
quant produzida;Luís Eduardo Magalhães ;6991;3684;4720;3600;3556;2806;6000;3880;2940;2200;2651
quant produzida;Guaxupé ;9538;6359;9360;7500;9072;6860;10080;6666;8526;4590;4503
quant produzida;Manhuaçu ;21780;26352;16320;23460;19278;26274;26050;21338;36826;19728;32688
quant produzida;Patrocínio ;64789;52386;63328;41085;91673;56115;82830;56640;76204;60486;34859
quant produzida;Venda Nova do Imigrante ;3910;4100;4600;4260;4082;2268;3720;2430;4356;2520;5400
quant produzida;Franca ;5505;7063;11693;7252;17580;6153;20544;9244;19110;9100;14220
quant produzida;Londrina ;4230;3618;744;1920;1311;1140;1170;940;1140;331;1207
valor produção;Luís Eduardo Magalhães ;40548;17794;35911;27360;26933;21326;36000;24573;27048;28600;24412
valor produção;Guaxupé ;62188;29697;65520;56250;71823;51862;75600;43329;67270;66173;92762
valor produção;Manhuaçu ;138956;111996;111492;164220;134946;185757;182350;138697;310075;255445;672338
valor produção;Patrocínio ;415297;244119;474960;274006;687548;459021;625545;387984;656331;814803;717371
valor produção;Venda Nova do Imigrante ;21894;17036;21784;22141;24392;14889;22624;12494;28780;37061;97324
valor produção;Franca ;36333;34418;58269;36115;71797;25129;84436;63784;145236;121333;291510
valor produção;Londrina ;22334;12759;4030;9600;7211;7205;6950;4829;7393;4237;20519
